iter	RMSE
216	0.5446454223
217	0.5443790003
218	0.5440857954
219	0.5439436106
220	0.5438095744
221	0.5437124888
222	0.5435136099
223	0.5432939677
224	0.5430291748
225	0.5428529322
226	0.5426271943
227	0.5424675655
228	0.5422978441
229	0.5421437297
230	0.5419406538
231	0.5418323678
232	0.5417177764
233	0.5415328103
234	0.5413376143
235	0.5411821847
236	0.541003405
237	0.5408008032
238	0.5405529054
239	0.5404242804
240	0.5402161885
241	0.5400593969
242	0.5398203396
243	0.5396551169
244	0.5395273189
245	0.5392639031
246	0.5391426057
247	0.5389136586
248	0.5388052432
249	0.5387193172
250	0.5385589261
251	0.5384173544
252	0.5382380824
253	0.5380572803
254	0.5379107126
255	0.5377033855
256	0.5375156461
257	0.5372968913
258	0.5370870819
259	0.5369133187
260	0.5368266692
261	0.5366873109
262	0.5365082992
263	0.5363221384
264	0.5362167949
265	0.5359120897
266	0.5357640462
267	0.535595446
268	0.5354695743
269	0.5353139679
270	0.5350921409
271	0.5349692375
272	0.5348694252
273	0.5347467067
274	0.5345946844
275	0.5343941191
276	0.5342666254
277	0.5341376038
278	0.5340070076
279	0.5338533047
280	0.5337427992
281	0.5336624482
282	0.5334854074
283	0.5333560867
284	0.5332018483
285	0.5330370771
286	0.5328487928
287	0.5327722631
288	0.5326182893
289	0.5324094234
290	0.5322425227
291	0.5321599832
292	0.5320642009
293	0.5318620184
294	0.5317133195
295	0.5315916922
296	0.5314008208
297	0.5312879216
298	0.5311734601
299	0.5309377589
300	0.5307527399
301	0.5306198119
302	0.5305006494
303	0.5303413041
304	0.5302574407
305	0.5301141594
306	0.529937914
307	0.5297900624
308	0.5296634989
309	0.5295256672
310	0.5293564213
311	0.529264065
312	0.5291775572
313	0.5290292261
314	0.5288980344
315	0.5287203516
316	0.5285631541
317	0.5284468712
318	0.5283346976
319	0.5281360356
320	0.5279933289
321	0.5278521304
322	0.5277707344
323	0.5276574338
324	0.5274760314
325	0.5272667238
326	0.5272041418
327	0.5270749459
328	0.5269422747
329	0.5268876323
330	0.5266867959
331	0.5264552211
332	0.5263267025
333	0.5261915506
334	0.5260105165
335	0.5258372282
336	0.5256423421
337	0.525548099
338	0.5254187698
339	0.5253025347
340	0.5251276589
341	0.5249861599
342	0.5248968435
343	0.5246817903
344	0.5245832084
345	0.5244638849
346	0.524391934
347	0.5242653576
348	0.5241440401
349	0.5239054784
350	0.5237648745
351	0.5236203275
352	0.5234903801
353	0.5233358908
354	0.5232045232
355	0.5230994089
356	0.5229841951
357	0.522886449
358	0.5227713053
359	0.5226657464
360	0.5225484734
361	0.522478384
362	0.5223907118
363	0.5222841374
364	0.5221462463
365	0.5219677581
366	0.5218033399
367	0.5216708748
368	0.5215713537
369	0.5214316468
370	0.5213548142
371	0.5211214641
372	0.521039007
373	0.5208763959
374	0.5207102483
375	0.5205930374
376	0.5204966
377	0.520267767
378	0.5201294864
379	0.5199774152
380	0.5198499557
381	0.5196997217
382	0.5196303281
383	0.5195305289
384	0.5193838172
385	0.5192408856
386	0.5190886323
387	0.5189682644
388	0.5188146097
389	0.5186559358
390	0.5185824108
391	0.5185087109
392	0.5183783901
393	0.5182068333
394	0.5181055749
395	0.5180086016
396	0.5178465102
397	0.5177173443
398	0.5176260167
399	0.5174714874
400	0.5173965185
401	0.5172298406
402	0.5171003765
403	0.5169386775
404	0.5168725435
405	0.5167701762
406	0.5166438221
407	0.5164971825
408	0.516378825
409	0.5162180774
410	0.5161290988
411	0.5160251819
412	0.5158969723
413	0.5157958093
414	0.5157358306
415	0.5155935451
416	0.5154227301
417	0.5153004457
418	0.5151846258
419	0.5150868862
420	0.51500454
421	0.5148637906
422	0.5147519929
423	0.5146383106
424	0.5145003888
425	0.514293459
426	0.5142263363
427	0.5141129108
428	0.5139252476
429	0.5138510544
430	0.5137044178
431	0.5136389078
432	0.5135356562
433	0.5134294856
434	0.5132775367
435	0.513177333
436	0.5130092074
437	0.5129041198
438	0.5127702339
439	0.5126040978
440	0.5124494217
441	0.5123742081
442	0.5122623959
443	0.5121191893
444	0.5120396393
445	0.511958545
446	0.5118869874
447	0.5117700444
448	0.5117097808
449	0.5115883425
450	0.5114332056
451	0.5113568917
452	0.5112044316
453	0.5110755395
454	0.5109665827
455	0.5108944502
456	0.510777368
457	0.5107157117
458	0.5106039617
459	0.5104997367
460	0.5103833651
461	0.5102559279
462	0.5101944185
463	0.5100298796
464	0.5099266486
465	0.5097891413
466	0.5096633337
467	0.5094996846
468	0.5093590132
469	0.5092466837
470	0.5091208962
471	0.5090130971
472	0.508872554
473	0.5087527179
474	0.5086135466
475	0.5085261907
476	0.5084189548
477	0.5082443154
478	0.5080695144
479	0.5079706477
480	0.5078580553
481	0.5077623779
482	0.5076719109
483	0.5075822503
484	0.5074812158
485	0.5072955446
486	0.5071818163
487	0.5070856127
488	0.5069188086
489	0.5068138803
490	0.5066934046
491	0.5065890499
492	0.5064299834
493	0.5063337824
494	0.5062319526
495	0.5060985682
496	0.5059377785
497	0.5058438896
498	0.5057987971
499	0.5057220676
500	0.5056230419
501	0.5054949561
502	0.5053527675
503	0.5052041007
504	0.5050946651
505	0.5049677359
506	0.5048981345
507	0.5047712384
508	0.5047116211
509	0.5045901007
510	0.504488856
511	0.5043352161
512	0.504258572
513	0.5041609159
514	0.504055163
515	0.5039188525
516	0.5037921037
517	0.5036256554
518	0.5035134174
519	0.503367864
520	0.503302323
521	0.503183897
522	0.5031152138
523	0.5030114465
524	0.5029431786
525	0.5028533262
526	0.5027631778
527	0.5026705338
528	0.5025680107
529	0.5025030375
530	0.5024074992
531	0.5022750141
532	0.502144541
533	0.5020172063
534	0.5018783475
535	0.5017759587
536	0.5017000593
537	0.5015545864
538	0.5014102418
539	0.5013368936
540	0.5012491258
541	0.5011600366
542	0.5010524038
543	0.500955054
544	0.5008489137
545	0.5007586116
546	0.5006544084
547	0.500530087
548	0.5004305982
549	0.5003128465
550	0.5002036101
551	0.5001091071
552	0.5000358026
553	0.4999697894
554	0.4998663141
555	0.499756841
556	0.4996496363
557	0.4995489478
558	0.4994519821
559	0.4993490391
560	0.4992494182
561	0.4991733691
562	0.4990238585
563	0.4989388252
564	0.4988182629
565	0.4987439898
566	0.4986697626
567	0.4985813581
568	0.4985030717
569	0.4983832518
570	0.4982543479
571	0.4981423108
572	0.4980395261
573	0.4979191344
574	0.4978074718
575	0.4977314062
576	0.4976279648
577	0.4974845996
578	0.4973874826
579	0.497331118
580	0.4972700484
581	0.4971340913
582	0.4970550234
583	0.4969856067
584	0.4968630004
585	0.4967618216
586	0.4966729449
587	0.4965706258
588	0.4964658406
589	0.4963413871
590	0.4962312786
591	0.4961380015
592	0.4960634164
593	0.4959688145
594	0.495899257
595	0.4958272307
596	0.4956862405
597	0.4956255855
598	0.4955409366
599	0.4954481525
600	0.49535183
601	0.4952512043
602	0.4951925365
603	0.4951198813
604	0.4949930108
605	0.4949187252
606	0.4947855034
607	0.4946979686
608	0.4945418508
609	0.4944477405
610	0.4943358635
611	0.4942566047
612	0.4941653273
613	0.4941090924
614	0.4939922341
615	0.4938854187
616	0.4937703705
617	0.4937057805
618	0.4935739311
619	0.4934450821
620	0.4933470837
621	0.4932225963
622	0.493170713
623	0.4930886678
624	0.4929619625
625	0.4928495553
626	0.492753924
627	0.4926561767
628	0.4925610148
629	0.4924729982
630	0.4923866905
631	0.4923095026
632	0.4922419154
633	0.4921716214
634	0.4920707697
635	0.4919889952
636	0.4919198771
637	0.4917834874
638	0.4916865838
639	0.4915614067
640	0.4914338149
641	0.491360991
642	0.4912566102
643	0.4911293657
644	0.4910289767
645	0.4909688878
646	0.4907940821
647	0.4906968734
648	0.490592982
649	0.4904822422
650	0.4904147501
651	0.4903019432
652	0.4902246336
653	0.4901454332
654	0.4900029067
655	0.4899160454
656	0.4898561575
657	0.4897482641
658	0.4897025019
659	0.4895652991
660	0.4894705341
661	0.4893775288
662	0.4892522374
663	0.4891428632
664	0.4890615629
665	0.4889699794
666	0.4889143006
667	0.4888187274
668	0.4887160063
669	0.488593641
670	0.4885274931
671	0.4884244477
672	0.4883151
673	0.4882190889
674	0.4881116205
675	0.4879520404
676	0.4878417325
677	0.487766224
678	0.4876704568
679	0.4875684641
680	0.4874592457
681	0.4873986475
682	0.4872974245
683	0.4871454695
684	0.4870472376
685	0.4869591889
686	0.4868644913
687	0.4867507775
688	0.4865946499
689	0.4865278279
690	0.4863983161
691	0.4862914941
692	0.4861622781
693	0.4860731537
694	0.486021149
695	0.4858829975
696	0.4858081692
697	0.4857123716
698	0.4856559358
699	0.4855981194
700	0.4854744641
701	0.4854028865
702	0.4853320703
703	0.4852597461
704	0.4851478495
705	0.4850256975
706	0.4849629476
707	0.4848777377
708	0.4848024883
709	0.4847271574
710	0.4846306148
711	0.4844836539
712	0.4843645209
713	0.4842782281
714	0.4841876998
715	0.4841021694
716	0.4840315892
717	0.4839735827
718	0.4839221434
719	0.4838247026
720	0.4837823809
721	0.4836960793
722	0.4835896903
723	0.4835138365
724	0.4834192039
725	0.4833555281
726	0.4832176564
727	0.4831391268
728	0.4830465488
729	0.4829982819
730	0.4828978676
731	0.4828128602
732	0.4826958505
733	0.4826525743
734	0.4825607104
735	0.4824188115
736	0.4823574905
737	0.4821946421
738	0.4820937906
739	0.482031583
740	0.4819655724
741	0.4818514682
742	0.4817662857
743	0.4816875983
744	0.4815990079
745	0.4815072742
746	0.4814029821
747	0.4813166286
748	0.4812119274
749	0.481123383
750	0.4810459005
751	0.4809767772
752	0.4808640852
753	0.4807492669
754	0.480660046
755	0.4805570479
756	0.4804610332
757	0.4804165988
758	0.4803343018
759	0.480249216
760	0.4801838045
761	0.4801024002
762	0.4800334567
763	0.4799384739
764	0.4798433823
765	0.4797626535
766	0.4797178261
767	0.4796232084
768	0.4795355299
769	0.47946097
770	0.4792976548
771	0.4792205229
772	0.4791646372
773	0.4790702893
774	0.4790101189
775	0.4789363985
776	0.478844702
777	0.4787326788
778	0.4786436829
779	0.4785519607
780	0.478505926
781	0.4784376267
782	0.4783241673
783	0.4782192733
784	0.4781102677
785	0.4779951214
786	0.4778882113
787	0.4777865475
788	0.477703403
789	0.4776208156
790	0.4775218515
791	0.4774198601
792	0.4773362061
793	0.4772768433
794	0.477191623
795	0.4771225127
796	0.4770379417
797	0.4769346797
798	0.4768651355
799	0.4767987991
800	0.4767209378
801	0.4765715567
802	0.4764975308
803	0.4764175663
804	0.476335171
805	0.4762227781
806	0.4761788881
807	0.4760872565
808	0.4760370557
809	0.4759438629
810	0.4758690293
811	0.4757864694
812	0.4757177847
813	0.4756539635
814	0.4755981336
815	0.4754383429
816	0.4753982346
817	0.4752947195
818	0.4751605389
819	0.4750487976
820	0.474931581
821	0.4748614355
822	0.4748210908
823	0.4747473252
824	0.4746714648
825	0.4746228014
826	0.4745288479
827	0.4744527403
828	0.4743734748
829	0.4742890698
830	0.474203758
831	0.474103238
832	0.4740059852
833	0.4739043436
834	0.4738390158
835	0.4737379577
836	0.4736742561
837	0.4736108426
838	0.4735645189
839	0.4734808674
840	0.4733820217
841	0.4732939073
842	0.4732171437
843	0.4731164642
844	0.4730402027
845	0.4729711288
846	0.4728985758
847	0.4728193216
848	0.4727749747
849	0.4726592433
850	0.4725904408
851	0.4724484712
852	0.4723381304
853	0.4722495908
854	0.4721459635
855	0.4720836818
856	0.4719628878
857	0.4718320464
858	0.4717344131
859	0.4716676634
860	0.4715893033
861	0.4715253717
862	0.4714024207
863	0.4713064725
864	0.4712421344
865	0.4711350926
866	0.4710537134
867	0.4709376789
868	0.4708721671
869	0.4707819695
870	0.4707067367
871	0.4706111155
872	0.4705698746
873	0.4704730445
874	0.4703727057
875	0.4703155774
876	0.4702203408
877	0.4701384404
878	0.470052243
879	0.4699330679
880	0.4698475152
881	0.4697712932
882	0.4697337333
883	0.4696658738
884	0.4695669579
885	0.4694697625
886	0.4693660428
887	0.4692368061
888	0.4691753983
889	0.4691172604
890	0.4690738291
891	0.4690292387
892	0.4689300159
893	0.4688350401
894	0.4687327285
895	0.4686724487
896	0.4685701725
897	0.4685025485
898	0.4684516333
899	0.4683872993
900	0.4683199515
901	0.4682544688
902	0.4681593504
903	0.4680674558
904	0.4680056694
905	0.4679064104
906	0.4677954749
907	0.467743731
908	0.4676090095
909	0.4674984172
910	0.4674451278
911	0.4673963632
912	0.4673578606
913	0.467248441
914	0.4671499191
915	0.4670602199
916	0.467008634
917	0.4669427892
918	0.4668867872
919	0.4667935689
920	0.4667216873
921	0.466604859
922	0.4665332935
923	0.4664363525
924	0.466324268
925	0.466206802
926	0.4661250739
927	0.4660618908
928	0.4660114482
929	0.4659665483
930	0.4659157191
931	0.4658105011
932	0.4657539802
933	0.4656434219
934	0.4655659658
935	0.4655097069
936	0.4654614233
937	0.4654003553
938	0.4653362528
939	0.4652935364
940	0.4651961353
941	0.4651198342
942	0.4650527179
943	0.4649849684
944	0.4648841171
945	0.4648126601
946	0.4647210776
947	0.4646375321
948	0.4645736304
949	0.4644967043
950	0.4644080286
951	0.4643352606
952	0.4642667917
953	0.4641676811
954	0.4640898756
955	0.463993008
956	0.4639161977
957	0.4638403514
958	0.4637602949
959	0.4636870657
960	0.463574743
961	0.4634992674
962	0.4634115441
963	0.4633054517
964	0.4632384876
965	0.4631630923
966	0.463087386
967	0.4629974908
968	0.4629632931
969	0.4628608696
970	0.4627639839
971	0.4627238288
972	0.4626514357
973	0.462558119
974	0.4624725176
975	0.4624222649
976	0.4623487618
977	0.4622285885
978	0.4621364699
979	0.4620630833
980	0.461980763
981	0.4619259715
982	0.461846317
983	0.4617499264
984	0.4616756304
985	0.4616204937
986	0.4614939866
987	0.4613989763
988	0.4613324453
989	0.4612454071
990	0.461186652
991	0.461080165
992	0.4609979902
993	0.4609259336
994	0.4608426258
995	0.4607587993
996	0.4606531426
997	0.4606124023
998	0.460521474
999	0.4604175885
